Width,Height,Count,Percent
2440,2518,1,0.11135857461024498
2440,2540,1,0.11135857461024498
2440,2590,1,0.11135857461024498
2700,1498,1,0.11135857461024498
2444,1532,1,0.11135857461024498
2452,2532,1,0.11135857461024498
2700,1748,1,0.11135857461024498
2456,3176,1,0.11135857461024498
2472,1465,1,0.11135857461024498
2472,1686,1,0.11135857461024498
2472,2234,1,0.11135857461024498
2488,1263,1,0.11135857461024498
2496,1650,1,0.11135857461024498
2504,1617,1,0.11135857461024498
2508,2373,1,0.11135857461024498
2512,1594,1,0.11135857461024498
2512,2419,1,0.11135857461024498
2516,1782,1,0.11135857461024498
2520,1461,1,0.11135857461024498
2520,1619,1,0.11135857461024498
2520,1847,1,0.11135857461024498
2524,1501,1,0.11135857461024498
2532,2683,1,0.11135857461024498
2536,1399,1,0.11135857461024498
2544,1461,1,0.11135857461024498
2548,1055,1,0.11135857461024498
2560,1217,1,0.11135857461024498
2560,1260,1,0.11135857461024498
2560,1774,1,0.11135857461024498
2564,1454,1,0.11135857461024498
2580,1356,1,0.11135857461024498
2592,1270,1,0.11135857461024498
2596,1746,1,0.11135857461024498
2596,2032,1,0.11135857461024498
2600,2110,1,0.11135857461024498
2608,1532,1,0.11135857461024498
2608,1643,1,0.11135857461024498
2608,2324,1,0.11135857461024498
2764,2032,1,0.11135857461024498
2788,1558,1,0.11135857461024498
2792,1546,1,0.11135857461024498
2800,2439,1,0.11135857461024498
2800,2444,1,0.11135857461024498
2800,2576,1,0.11135857461024498
2700,1845,1,0.11135857461024498
2848,2570,1,0.11135857461024498
2856,1657,1,0.11135857461024498
2880,1701,1,0.11135857461024498
2884,2707,1,0.11135857461024498
2924,2409,1,0.11135857461024498
2952,2439,1,0.11135857461024498
2976,2368,1,0.11135857461024498
3244,2470,1,0.11135857461024498
3308,2731,1,0.11135857461024498
1148,2032,1,0.11135857461024498
1180,2400,1,0.11135857461024498
1184,2439,1,0.11135857461024498
1268,2439,1,0.11135857461024498
1276,2032,1,0.11135857461024498
1276,2247,1,0.11135857461024498
1284,818,1,0.11135857461024498
1296,2175,1,0.11135857461024498
1308,2260,1,0.11135857461024498
1320,2374,1,0.11135857461024498
1344,2032,1,0.11135857461024498
1344,2170,1,0.11135857461024498
1364,2292,1,0.11135857461024498
1364,2433,1,0.11135857461024498
1368,2434,1,0.11135857461024498
1372,804,1,0.11135857461024498
